Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,Predict_NotIn_Ratio
Goodreads,sft_model_Llama321B,,0.0174212373989742,0.0555763462035268,0.1922,0.102,0.576,0.0033353119261139,0.006,0.576
Goodreads,SPRec_Llama321B,,0.014228581526558,0.0491084471993589,0.2144,0.1256,0.449,0.0037221647333484,0.007,0.449
Goodreads,sft_model_Llama321B_SPRec_setup,,0.0174212373989742,0.0555763462035268,0.1922,0.102,0.576,0.0033353119261139,0.006,0.576
Goodreads,sft_model_Llama321B,,0.0174212373989742,0.0555763462035268,0.1922,0.102,0.576,0.0033353119261139,0.006,0.576
Goodreads,sft_model_Llama321B_SPRecSet,,0.0174212373989742,0.0555763462035268,0.1922,0.102,0.576,0.0033353119261139,0.006,0.576
Goodreads,sft_model_Llama321B_SPRecSet_2,,0.0219617147321246,0.076651335555816,0.0772,0.236,0.274,0.0071966650422607,0.011,0.274
Goodreads,SPRec_Llama321B_SPRecSet_2,,0.0154958774928312,0.0493947017398515,0.1104,0.056,0.508,0.0117760539147115,0.019,0.508
Goodreads,sft_model_Llama321B_SPRecSet_raw,,0.0091580966749205,0.0308545209823148,0.0958,0.1836,0.167,0.021053347682418,0.025,0.167
Goodreads,sft_model_Llama321B_SPRecSet_4096,,0.0074303479174325,0.027655779546423,0.2776,0.0328,0.309,0.0144105718215203,0.017,0.309
Goodreads,STF_Llama321B_SPRecSet_on_4096,,0.0069147236503173,0.0296848766051709,0.2834,0.0336,0.257,0.0212026014957405,0.026,0.257
Goodreads,SPRec_Llama321B_SPRecSet_on_4096,,0.0058185570092875,0.0220589394848304,0.276,0.0354,0.356,0.0120278479913302,0.017,0.356
Goodreads,SPRec_Llama321B_new,,0.013824791796851714,0.04059875572924662,0.2786,0.068,0.667,0.0038613531161467863,0.005,0.667
